departamento,municipio,votos
ATLANTICO,JUAN DE ACOSTA,7827
ATLANTICO,PONEDERA,7795
TOLIMA,LERIDA,7749
NORTE DE SANTANDER,SARDINATA,7725
ATLANTICO,POLONUEVO,7719
LA GUAJIRA,DIBULLA,7698
CAQUETA,PUERTO RICO,7697
HUILA,AIPE,7686
VALLE DEL CAUCA,TRUJILLO,7677
NARINO,SANDONA,7665
ANTIOQUIA,SEGOVIA,7663
SUCRE,MORROA,7662
LA GUAJIRA,ALBANIA,7658
CORDOBA,COTORRA,7657
BOYACA,SAMACA,7648
BOYACA,VILLA DE LEYVA,7644
CALDAS,VITERBO,7598
CORDOBA,MOMIL,7573
VALLE DEL CAUCA,RIOFRIO,7570
CASANARE,MONTERREY,7536
BOLIVAR,ACHI,7529
ANTIOQUIA,COCORNA,7517
MAGDALENA,SANTA ANA,7514
ANTIOQUIA,FREDONIA,7512
VALLE DEL CAUCA,SAN PEDRO,7505
MAGDALENA,PUEBLOVIEJO,7457
ANTIOQUIA,TAMESIS,7448
CORDOBA,BUENAVISTA,7427
CESAR,BECERRIL,7417
CESAR,SAN DIEGO,7408
CUNDINAMARCA,ANAPOIMA,7355
TOLIMA,ATACO,7348
NARINO,GUACHUCAL,7330
MAGDALENA,SAN SEBASTIAN DE BUENAVISTA,7317
CORDOBA,MONITOS,7303
CORDOBA,PUERTO ESCONDIDO,7291
TOLIMA,COYAIMA,7262
ANTIOQUIA,SAN CARLOS,7261
NARINO,LA CRUZ,7259
CESAR,ASTREA,7244
CALDAS,SALAMINA,7231
CUNDINAMARCA,GUASCA,7223
NARINO,PUPIALES,7222
CUNDINAMARCA,GACHANCIPA,7220
BOLIVAR,CALAMAR,7205
HUILA,ALGECIRAS,7165
MAGDALENA,NUEVA GRANADA,7142
BOYACA,AQUITANIA,7134
CUNDINAMARCA,CHOACHI,7129
CALDAS,PALESTINA,7102
ANTIOQUIA,JARDIN,7070
CUNDINAMARCA,SUESCA,7049
VICHADA,PUERTO CARRENO,7020
CESAR,PAILITAS,7008
BOYACA,GARAGOA,6996
VALLE DEL CAUCA,YOTOCO,6995
ANTIOQUIA,YONDO,6983
CESAR,PELAYA,6968
ANTIOQUIA,PUERTO TRIUNFO,6963
ANTIOQUIA,SAN JUAN DE URABA,6916
CAQUETA,EL DONCELLO,6884
VALLE DEL CAUCA,BOLIVAR,6862
SUCRE,SAN JUAN DE BETULIA,6842
META,VISTAHERMOSA,6808
CUNDINAMARCA,TOCAIMA,6807
NARINO,TAMINANGO,6774
VALLE DEL CAUCA,CALIMA,6760
CONSULADOS,PANAMA,6736
TOLIMA,NATAGAIMA,6723
SANTANDER,PUENTE NACIONAL,6722
VALLE DEL CAUCA,RESTREPO,6703
HUILA,SUAZA,6701
TOLIMA,SALDANA,6693
ANTIOQUIA,CANASGORDAS,6671
CUNDINAMARCA,NEMOCON,6664
BOLIVAR,SAN ESTANISLAO,6640
CASANARE,MANI,6636
CAUCA,GUAPI,6634
BOLIVAR,PINILLOS,6600
BOLIVAR,CORDOBA,6594
ANTIOQUIA,ABEJORRAL,6582
CORDOBA,LOS CORDOBAS,6581
CUNDINAMARCA,ANOLAIMA,6564
ANTIOQUIA,SAN ROQUE,6536
NORTE DE SANTANDER,TOLEDO,6528
TOLIMA,RIOBLANCO,6458
CAUCA,SUAREZ,6449
BOLIVAR,VILLANUEVA,6442
HUILA,GUADALUPE,6428
CUNDINAMARCA,PUERTO SALGAR,6422
CORDOBA,PURISIMA DE LA CONCEPCION,6421
CAUCA,TIMBIQUI,6408
TOLIMA,SAN LUIS,6403
CALDAS,PACORA,6392
CAUCA,BALBOA,6360
HUILA,TARQUI,6317
VALLE DEL CAUCA,LA CUMBRE,6316
ANTIOQUIA,SAN JERONIMO,6291
ATLANTICO,CANDELARIA,6246
SANTANDER,EL PLAYON,6164
LA GUAJIRA,HATONUEVO,6144
CUNDINAMARCA,RICAURTE,6122
CAQUETA,CARTAGENA DEL CHAIRA,6102
ANTIOQUIA,CONCORDIA,6100
BOLIVAR,TURBANA,6086
CALDAS,MARQUETALIA,6082
ANTIOQUIA,YOLOMBO,6054
ANTIOQUIA,AMALFI,6049
NARINO,EL TAMBO,6027
ATLANTICO,MANATI,6013
ANTIOQUIA,REMEDIOS,6009
