departamento,municipio,candidato,votos,total_votos_candidatos,porcentaje_municipal
AMAZONAS,PUERTO ALEGRIA,DE LA CALLE LOMBANA HUMBERTO,1,73,1.36986301369863
AMAZONAS,PUERTO ALEGRIA,DUQUE MARQUEZ IVAN,34,73,46.57534246575342
AMAZONAS,PUERTO ALEGRIA,FAJARDO VALDERRAMA SERGIO,6,73,8.21917808219178
AMAZONAS,PUERTO ALEGRIA,PETRO URREGO GUSTAVO FRANCISCO,31,73,42.465753424657535
AMAZONAS,PUERTO ALEGRIA,VARGAS LLERAS GERMAN,1,73,1.36986301369863
AMAZONAS,PUERTO ARICA,DE LA CALLE LOMBANA HUMBERTO,5,146,3.4246575342465753
AMAZONAS,PUERTO ARICA,DUQUE MARQUEZ IVAN,32,146,21.91780821917808
AMAZONAS,PUERTO ARICA,FAJARDO VALDERRAMA SERGIO,4,146,2.73972602739726
AMAZONAS,PUERTO ARICA,PETRO URREGO GUSTAVO FRANCISCO,98,146,67.12328767123287
AMAZONAS,PUERTO ARICA,TRUJILLO SARMIENTO JORGE ANTONIO,1,146,0.684931506849315
AMAZONAS,PUERTO ARICA,VARGAS LLERAS GERMAN,6,146,4.10958904109589
AMAZONAS,PUERTO NARINO,DE LA CALLE LOMBANA HUMBERTO,36,1869,1.9261637239165328
AMAZONAS,PUERTO NARINO,DUQUE MARQUEZ IVAN,651,1869,34.831460674157306
AMAZONAS,PUERTO NARINO,FAJARDO VALDERRAMA SERGIO,83,1869,4.440877474585339
AMAZONAS,PUERTO NARINO,MORALES HOYOS VIVIANE ALEIDA,7,1869,0.37453183520599254
AMAZONAS,PUERTO NARINO,PETRO URREGO GUSTAVO FRANCISCO,839,1869,44.89031567683253
AMAZONAS,PUERTO NARINO,TRUJILLO SARMIENTO JORGE ANTONIO,9,1869,0.4815409309791332
AMAZONAS,PUERTO NARINO,VARGAS LLERAS GERMAN,244,1869,13.055109684323169
AMAZONAS,PUERTO SANTANDER,DE LA CALLE LOMBANA HUMBERTO,2,165,1.2121212121212122
AMAZONAS,PUERTO SANTANDER,DUQUE MARQUEZ IVAN,27,165,16.363636363636363
AMAZONAS,PUERTO SANTANDER,FAJARDO VALDERRAMA SERGIO,3,165,1.8181818181818181
AMAZONAS,PUERTO SANTANDER,PETRO URREGO GUSTAVO FRANCISCO,85,165,51.515151515151516
AMAZONAS,PUERTO SANTANDER,TRUJILLO SARMIENTO JORGE ANTONIO,1,165,0.6060606060606061
AMAZONAS,PUERTO SANTANDER,VARGAS LLERAS GERMAN,47,165,28.484848484848484
AMAZONAS,TARAPACA,DE LA CALLE LOMBANA HUMBERTO,11,355,3.0985915492957745
AMAZONAS,TARAPACA,DUQUE MARQUEZ IVAN,95,355,26.76056338028169
AMAZONAS,TARAPACA,FAJARDO VALDERRAMA SERGIO,21,355,5.915492957746479
AMAZONAS,TARAPACA,PETRO URREGO GUSTAVO FRANCISCO,174,355,49.014084507042256
AMAZONAS,TARAPACA,TRUJILLO SARMIENTO JORGE ANTONIO,2,355,0.5633802816901409
AMAZONAS,TARAPACA,VARGAS LLERAS GERMAN,52,355,14.647887323943662
ANTIOQUIA,ABEJORRAL,DE LA CALLE LOMBANA HUMBERTO,73,6320,1.1550632911392407
ANTIOQUIA,ABEJORRAL,DUQUE MARQUEZ IVAN,4580,6320,72.46835443037975
ANTIOQUIA,ABEJORRAL,FAJARDO VALDERRAMA SERGIO,1097,6320,17.35759493670886
ANTIOQUIA,ABEJORRAL,MORALES HOYOS VIVIANE ALEIDA,24,6320,0.37974683544303794
ANTIOQUIA,ABEJORRAL,PETRO URREGO GUSTAVO FRANCISCO,184,6320,2.911392405063291
ANTIOQUIA,ABEJORRAL,TRUJILLO SARMIENTO JORGE ANTONIO,15,6320,0.23734177215189875
ANTIOQUIA,ABEJORRAL,VARGAS LLERAS GERMAN,347,6320,5.4905063291139244
ANTIOQUIA,ABRIAQUI,DE LA CALLE LOMBANA HUMBERTO,15,974,1.5400410677618068
ANTIOQUIA,ABRIAQUI,DUQUE MARQUEZ IVAN,828,974,85.01026694045176
ANTIOQUIA,ABRIAQUI,FAJARDO VALDERRAMA SERGIO,89,974,9.137577002053387
ANTIOQUIA,ABRIAQUI,MORALES HOYOS VIVIANE ALEIDA,2,974,0.20533880903490762
ANTIOQUIA,ABRIAQUI,PETRO URREGO GUSTAVO FRANCISCO,11,974,1.1293634496919918
ANTIOQUIA,ABRIAQUI,TRUJILLO SARMIENTO JORGE ANTONIO,2,974,0.20533880903490762
ANTIOQUIA,ABRIAQUI,VARGAS LLERAS GERMAN,27,974,2.772073921971253
ANTIOQUIA,ALEJANDRIA,DE LA CALLE LOMBANA HUMBERTO,94,2126,4.421448730009407
